Unbearbeiteter Daten-Export (tab separat)


Klient:	VP0,Vor-vorversuch
Sitzung:	iads
Datum:	15-11-2007
Zeit:	13:02:44
Dauer:	197	Sekunden.
Ausgabegeschwindigkeit:	32	Samples/sek.

Beispiele	32 SPS	
ZEIT	Sensor-13:SC/GSR	Ereignisse	


0	2.431		
1	2.380		
2	2.380		
3	2.380		
4	2.380		
5	2.380		
6	2.380		
7	2.381		
8	2.381		
9	2.381		
10	2.381		
11	2.381		
12	2.381		
13	2.382		
14	2.382		
15	2.382		
16	2.382		
17	2.383		
18	2.383		
19	2.383		
20	2.384		
21	2.384		
22	2.385		
23	2.385		
24	2.385		
25	2.386		
26	2.386		
27	2.386		
28	2.386		
29	2.386		
30	2.386		
31	2.386		
32	2.386		
33	2.386		
34	2.387		
35	2.386		
36	2.387		
37	2.386		
38	2.387		
39	2.387		
40	2.387		
41	2.387		
42	2.386		
43	2.387		
44	2.386		
45	2.387		
46	2.386		
47	2.386		
48	2.386		
49	2.386		
50	2.386		
51	2.386		
52	2.387		
53	2.387		
54	2.387		
55	2.388		
56	2.388		
57	2.389		
58	2.389		
59	2.390		
60	2.390		
61	2.391		
62	2.392		
63	2.393		
64	2.394		
65	2.394		
66	2.395		
67	2.396		
68	2.398		
69	2.398		
70	2.400		
71	2.401		
72	2.402		
73	2.403		
74	2.405		
75	2.406		
76	2.407		
77	2.409		
78	2.410		
79	2.412		
80	2.413		
81	2.415		
82	2.416		
83	2.417		
84	2.419		
85	2.420		
86	2.422		
87	2.423		
88	2.425		
89	2.427		
90	2.429		
91	2.430		
92	2.432		
93	2.434		
94	2.436		
95	2.438		
96	2.440		
97	2.442		
98	2.444		
99	2.446		
100	2.448		
101	2.450		
102	2.453		
103	2.455		
104	2.457		
105	2.459		
106	2.461		
107	2.463		
108	2.466		
109	2.468		
110	2.470		
111	2.472		
112	2.474		
113	2.476		
114	2.478		
115	2.480		
116	2.482		
117	2.484		
118	2.486		
119	2.487		
120	2.488		
121	2.489		
122	2.490		
123	2.491		
124	2.492		
125	2.493		
126	2.494		
127	2.495		
128	2.496		
129	2.497		
130	2.498		
131	2.499		
132	2.500		
133	2.500		
134	2.501		
135	2.501		
136	2.502		
137	2.503		
138	2.503		
139	2.504		
140	2.504		
141	2.504		
142	2.504		
143	2.505		
144	2.505		
145	2.505		
146	2.505		
147	2.506		
148	2.507		
149	2.507		
150	2.509		
151	2.509		
152	2.511		
153	2.513		
154	2.515		
155	2.517		
156	2.520		
157	2.523		
158	2.526		
159	2.530		
160	2.534		
161	2.538		
162	2.542		
163	2.547		
164	2.551		
165	2.555		
166	2.560		
167	2.564		
168	2.569		
