RAW Data export file (tab separated)


Client:	Test,Data
Session:	Testdata
Date:	22-01-2016
Time:	11:07:59
Duration:	124	Seconds.
Output rate:	32	Samples/sec.

Samples	32 SPS	
TIME	Sensor-13:SC/GSR	Events	


0	16.949		
1	16.570		
2	16.558		
3	16.563		
4	16.553		
5	16.554		
6	16.546		
7	16.547		
8	16.541		
9	16.534		
10	16.539		
11	16.527		
12	16.532		
13	16.521		
14	16.524		
15	16.518		
16	16.516		
17	16.514		
18	16.508		
19	16.512		
20	16.503		
21	16.508		
22	16.502		
23	16.506		
24	16.508		
25	16.505		
26	16.518		
27	16.515		
28	16.528		
29	16.533		
30	16.552	58	
31	16.563		
32	16.575		
33	16.598		
34	16.609		
35	16.636		
36	16.653		
37	16.682		
38	16.701		
39	16.730		
40	16.758		
41	16.777		
42	16.812		
43	16.833		
44	16.863		
45	16.885		
46	16.915		
47	16.933		
48	16.955		
49	16.985		
50	16.998		
51	17.025		
52	17.037		
53	17.061		
54	17.072		
55	17.089		
56	17.106		
57	17.114		
58	17.137		
59	17.138		
60	17.157		
61	17.158		
62	17.169		
63	17.174		
64	17.172		
65	17.186		
66	17.180		
67	17.191		
68	17.184		
69	17.189		
70	17.187		
71	17.190		
72	17.192		
73	17.177		
74	17.187		
75	17.176		
76	17.178		
77	17.167	59	
78	17.173		
79	17.165		
80	17.161		
81	17.165		
82	17.150		
83	17.154		
84	17.144		
85	17.146		
86	17.138		
87	17.142		
88	17.141		
89	17.132		
90	17.140		
91	17.134		
92	17.139		
93	17.135		
94	17.143		
95	17.143		
96	17.140		
97	17.155		
98	17.149		
99	17.161		
100	17.158		
101	17.165		
102	17.165		
103	17.166		
104	17.173		
105	17.169		
106	17.179		
107	17.171		
108	17.177		
109	17.171		
110	17.177		
111	17.175		
112	17.168		
113	17.176	60	
114	17.164		
115	17.170		
116	17.164		
117	17.163		
118	17.153		
119	17.151		
120	17.149		
121	17.134		
122	17.138		
123	17.122		
124	17.124		
125	17.112		
126	17.113		
127	17.103		
128	17.089		
129	17.091		
130	17.073		
131	17.073		
132	17.060		
133	17.056		
134	17.043		
135	17.037		
136	17.034		
137	17.016		
138	17.014		
139	16.998		
140	16.993		
141	16.979	61	
142	16.976		
143	16.963		
144	16.947		
145	16.945		
146	16.930		
147	16.927		
148	16.911		
149	16.905		
150	16.891		
151	16.889		
152	16.884		
153	16.863		
154	16.864		
155	16.847		
156	16.848		
157	16.831		
158	16.828		
159	16.816		
160	16.803		
161	16.803		
162	16.788		
163	16.786		
164	16.771		
165	16.772		
166	16.758		
167	16.756		
168	16.749	62	
169	16.737		
170	16.737		
171	16.723		
172	16.723		
173	16.711		
174	16.709		
175	16.701		
176	16.691		
177	16.692		
178	16.678		
179	16.678		
180	16.668		
181	16.667		
182	16.657		
183	16.654		
184	16.652		
185	16.639		
186	16.644		
187	16.632		
188	16.634		
189	16.622		
190	16.624		
191	16.617	63	
192	16.610		
193	16.612		
194	16.599		
195	16.605		
196	16.593		
197	16.594		
198	16.585		
199	16.581		
200	16.583		
201	16.572		
202	16.576		
203	16.563		
204	16.568		
205	16.559		
206	16.557		
207	16.554		
208	16.548		
209	16.551		
210	16.540		
211	16.545		
212	16.535		
213	16.536		
214	16.528		
215	16.530		
216	16.528		
217	16.519		
218	16.524		
219	16.514		
220	16.516		
221	16.509		
222	16.511		
223	16.506		
224	16.498		
225	16.505		
226	16.494		
227	16.499		
228	16.490	64	
229	16.491		
230	16.485		
231	16.484		
232	16.487		
233	16.476		
234	16.480		
235	16.474		
236	16.477		
237	16.468		
238	16.471		
239	16.468		
240	16.462		
241	16.465		
242	16.456		
243	16.460		
244	16.451		
245	16.455		
246	16.449		
247	16.446		
248	16.450		
249	16.439		
250	16.443		
251	16.434		
252	16.439		
253	16.431		
254	16.433		
255	16.428		
256	16.424		
257	16.428	65	
258	16.419		
259	16.421		
260	16.413		
261	16.418		
262	16.411		
263	16.408		
264	16.411		
265	16.399		
266	16.406		
267	16.394		
268	16.400		
269	16.390		
270	16.393		
271	16.391		
272	16.385		
273	16.390		
274	16.381		
275	16.385		
276	16.378		
277	16.378		
278	16.374		
279	16.371		
280	16.374		
281	16.365		
282	16.370	66	
283	16.360		
284	16.365		
285	16.358		
286	16.359		
287	16.358		
288	16.350		
289	16.355		
290	16.347		
291	16.351		
292	16.346		
293	16.347		
294	16.342		
295	16.341		
296	16.345		
297	16.335		
298	16.339		
299	16.332		
300	16.338		
301	16.329		
302	16.334	67	
303	16.333		
304	16.328		
305	16.336		
306	16.330		
307	16.338		
308	16.334		
309	16.342		
310	16.341		
311	16.347		
312	16.358		
313	16.357		
314	16.371		
315	16.374		
316	16.388		
317	16.392		
318	16.403		
319	16.417		
320	16.426		
321	16.443		
322	16.447		
323	16.464		
324	16.473		
325	16.488		
326	16.496		
327	16.509		
328	16.527		
329	16.529		
